Node 1	Node 2	Date	% Error	Value	Threshold	Threshold Adhered To
arsenic	343704118095601	1964-07-30	2141.857142857143	3.0	0.0014	USEPA_MCL_Goal
343144117572901	chromium	1965-05-20	999.0	20.0	0.02	CA_PHG
343144117572901	chromium	1965-05-20	999.0	20.0	0.02	CA_PHG
chromium	343851118083801	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	343851118083801	1968-12-17	999.0	20.0	0.02	CA_PHG
chromium	343851118083801	1969-12-16	499.0	10.0	0.02	CA_PHG
chromium	343851118083801	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	343851118083801	1968-12-17	999.0	20.0	0.02	CA_PHG
chromium	343851118083801	1969-12-16	499.0	10.0	0.02	CA_PHG
chromium	344042118130001	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344042118130001	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344042118130001	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344042118130001	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1960-10-30	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1964-06-16	999.0	20.0	0.02	CA_PHG
chromium	344107118092401	1965-06-17	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1965-12-21	999.0	20.0	0.02	CA_PHG
chromium	344107118092401	1966-07-13	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1967-06-19	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1967-12-20	999.0	20.0	0.02	CA_PHG
chromium	344107118092401	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1960-10-30	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1964-06-16	999.0	20.0	0.02	CA_PHG
chromium	344107118092401	1965-06-17	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1965-12-21	999.0	20.0	0.02	CA_PHG
chromium	344107118092401	1966-07-13	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1967-06-19	499.0	10.0	0.02	CA_PHG
chromium	344107118092401	1967-12-20	999.0	20.0	0.02	CA_PHG
chromium	344107118092401	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344120118081301	1967-06-19	999.0	20.0	0.02	CA_PHG
chromium	344120118081301	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344120118081301	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344120118081301	1967-06-19	999.0	20.0	0.02	CA_PHG
chromium	344120118081301	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344120118081301	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1965-12-21	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1966-07-13	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1967-06-19	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1967-12-20	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1968-12-17	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1969-12-16	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1965-12-21	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1966-07-13	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1967-06-19	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1967-12-20	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1968-12-17	999.0	20.0	0.02	CA_PHG
chromium	344125118075801	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344125118075801	1969-12-16	499.0	10.0	0.02	CA_PHG
chromium	344130118075701	1964-06-16	999.0	20.0	0.02	CA_PHG
chromium	344130118075701	1965-06-17	1499.0	30.0	0.02	CA_PHG
chromium	344130118075701	1966-07-13	999.0	20.0	0.02	CA_PHG
chromium	344130118075701	1967-06-19	499.0	10.0	0.02	CA_PHG
chromium	344130118075701	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344130118075701	1968-12-17	999.0	20.0	0.02	CA_PHG
chromium	344130118075701	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	344130118075701	1964-06-16	999.0	20.0	0.02	CA_PHG
chromium	344130118075701	1965-06-17	1499.0	30.0	0.02	CA_PHG
chromium	344130118075701	1966-07-13	999.0	20.0	0.02	CA_PHG
chromium	344130118075701	1967-06-19	499.0	10.0	0.02	CA_PHG
chromium	344130118075701	1968-07-11	499.0	10.0	0.02	CA_PHG
chromium	344130118075701	1968-12-17	999.0	20.0	0.02	CA_PHG
chromium	344130118075701	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	343603118085501	1967-06-16	499.0	10.0	0.02	CA_PHG
chromium	343603118085501	1967-06-16	499.0	10.0	0.02	CA_PHG
chromium	343604118085501	1964-05-19	499.0	10.0	0.02	CA_PHG
chromium	343604118085501	1965-05-20	499.0	10.0	0.02	CA_PHG
chromium	343604118085501	1964-05-19	499.0	10.0	0.02	CA_PHG
chromium	343604118085501	1965-05-20	499.0	10.0	0.02	CA_PHG
chromium	343848118083801	1969-07-11	499.0	10.0	0.02	CA_PHG
chromium	343848118083801	1969-07-11	499.0	10.0	0.02	CA_PHG
chromium	343903118074801	1960-10-14	1998.9999999999998	40.0	0.02	CA_PHG
chromium	343903118074801	1960-10-25	2499.0	50.0	0.02	CA_PHG
chromium	343903118074801	1964-06-16	1499.0	30.0	0.02	CA_PHG
chromium	343903118074801	1965-06-17	999.0	20.0	0.02	CA_PHG
chromium	343903118074801	1966-07-13	499.0	10.0	0.02	CA_PHG
chromium	343903118074801	1967-06-19	999.0	20.0	0.02	CA_PHG
chromium	343903118074801	1967-12-20	499.0	10.0	0.02	CA_PHG
chromium	343903118074801	1968-07-11	999.0	20.0	0.02	CA_PHG
chromium	343903118074801	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	343903118074801	1960-10-14	1998.9999999999998	40.0	0.02	CA_PHG
chromium	343903118074801	1960-10-25	2499.0	50.0	0.02	CA_PHG
chromium	343903118074801	1964-06-16	1499.0	30.0	0.02	CA_PHG
chromium	343903118074801	1965-06-17	999.0	20.0	0.02	CA_PHG
chromium	343903118074801	1966-07-13	499.0	10.0	0.02	CA_PHG
chromium	343903118074801	1967-06-19	999.0	20.0	0.02	CA_PHG
chromium	343903118074801	1967-12-20	499.0	10.0	0.02	CA_PHG
chromium	343903118074801	1968-07-11	999.0	20.0	0.02	CA_PHG
chromium	343903118074801	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	343951118065901	1967-06-19	999.0	20.0	0.02	CA_PHG
chromium	343951118065901	1969-06-10	499.0	10.0	0.02	CA_PHG
chromium	343951118065901	1967-06-19	999.0	20.0	0.02	CA_PHG
