Node 1	Node 2	Weight
phosphorus	mercury	2
phosphorus	arsenic	2
phosphorus	cadmium	2
phosphorus	lead	2
phosphorus	chromium	2
phosphorus	manganese	2
phosphorus	iron	2
phosphorus	selenium	1
mercury	arsenic	3
mercury	cadmium	3
mercury	beryllium	1
mercury	lead	3
mercury	chromium	2
mercury	manganese	2
mercury	iron	2
mercury	selenium	1
arsenic	cadmium	7
arsenic	beryllium	1
arsenic	lead	6
arsenic	p,p'-dde	1
arsenic	boron	1
arsenic	dieldrin	1
arsenic	pcbs	1
arsenic	p,p'-ddt	1
arsenic	chromium	2
arsenic	manganese	2
arsenic	iron	2
arsenic	selenium	1
cadmium	beryllium	1
cadmium	lead	6
cadmium	p,p'-dde	1
cadmium	boron	1
cadmium	dieldrin	1
cadmium	pcbs	1
cadmium	p,p'-ddt	1
cadmium	chromium	2
cadmium	manganese	2
cadmium	iron	2
cadmium	selenium	1
lead	beryllium	1
lead	p,p'-dde	1
lead	pcbs	1
lead	boron	1
lead	dieldrin	1
lead	p,p'-ddt	1
lead	chromium	2
lead	manganese	2
lead	iron	2
lead	selenium	1
chromium	manganese	2
chromium	iron	2
chromium	selenium	1
manganese	iron	2
manganese	selenium	1
iron	selenium	1
p,p'-dde	pcbs	1
p,p'-dde	dieldrin	1
p,p'-dde	p,p'-ddt	1
p,p'-dde	boron	1
boron	pcbs	1
boron	dieldrin	1
boron	p,p'-ddt	1
dieldrin	pcbs	1
dieldrin	p,p'-ddt	1
pcbs	p,p'-ddt	1
