Node 1	Node 2	Weight
344120118081301	344123118075501	1
344120118081301	344011118074701	1
344120118081301	343951118070001	1
344120118081301	11103000	1
344120118081301	343903118074801	1
344120118081301	344109118092601	1
344120118081301	344125118075801	1
344120118081301	343848118083801	1
344120118081301	344241118094001	1
344120118081301	344221118083401	1
344120118081301	344240118074301	1
344120118081301	343851118083801	1
344120118081301	344404117550001	1
344120118081301	344002118074701	1
344120118081301	344109118092401	1
344120118081301	344218118083301	1
344120118081301	11103010	1
344123118075501	344011118074701	1
344123118075501	343951118070001	1
344123118075501	11103000	1
344123118075501	343903118074801	1
344123118075501	344109118092601	1
344123118075501	344125118075801	1
344123118075501	343848118083801	1
344123118075501	344241118094001	1
344123118075501	344221118083401	1
344123118075501	344240118074301	1
344123118075501	343851118083801	1
344123118075501	344404117550001	1
344123118075501	344002118074701	1
344123118075501	344109118092401	1
344123118075501	344218118083301	1
344123118075501	11103010	1
344011118074701	344109118092601	1
344011118074701	344109118092401	1
344011118074701	343951118070001	1
344011118074701	11103000	1
344011118074701	343903118074801	1
344011118074701	344125118075801	1
344011118074701	343848118083801	1
344011118074701	344241118094001	1
344011118074701	344221118083401	1
344011118074701	344240118074301	1
344011118074701	343851118083801	1
344011118074701	344404117550001	1
344011118074701	344002118074701	1
344011118074701	344218118083301	1
344011118074701	11103010	1
343951118070001	344109118092601	1
343951118070001	344109118092401	1
343951118070001	344221118083401	1
343951118070001	343851118083801	1
343951118070001	344404117550001	1
343951118070001	11103000	1
343951118070001	344241118094001	1
343951118070001	343903118074801	1
343951118070001	344125118075801	1
343951118070001	343848118083801	1
343951118070001	344240118074301	1
343951118070001	344002118074701	1
343951118070001	344218118083301	1
343951118070001	11103010	1
11103000	11109550	1
11103000	11082800	2
11103000	344109118092601	1
11103000	344109118092401	1
11103000	11107745	3
11103000	11095500	1
11103000	344221118083401	1
11103000	343851118083801	1
11103000	344404117550001	1
11103000	342526118322101	3
11103000	11097490	1
11103000	10278300	4
11103000	344241118094001	1
11103000	343609118063801	1
11103000	343903118074801	1
11103000	344125118075801	1
11103000	343848118083801	1
11103000	344240118074301	1
11103000	343040118363801	3
11103000	344002118074701	1
11103000	344218118083301	1
11103000	11103010	8
343903118074801	344109118092601	1
343903118074801	344109118092401	1
343903118074801	344221118083401	1
343903118074801	343851118083801	1
343903118074801	344404117550001	1
343903118074801	344241118094001	1
343903118074801	344125118075801	1
343903118074801	343848118083801	1
343903118074801	344240118074301	1
343903118074801	344002118074701	1
343903118074801	344218118083301	1
343903118074801	11103010	1
344109118092601	344125118075801	1
344109118092601	343848118083801	1
344109118092601	344241118094001	1
344109118092601	344221118083401	1
344109118092601	344240118074301	1
344109118092601	343851118083801	1
344109118092601	344404117550001	1
344109118092601	344002118074701	1
344109118092601	344109118092401	1
344109118092601	344218118083301	1
344109118092601	11103010	1
344125118075801	344109118092401	1
344125118075801	344221118083401	1
344125118075801	343851118083801	1
344125118075801	344404117550001	1
344125118075801	344241118094001	1
344125118075801	343848118083801	1
344125118075801	344240118074301	1
344125118075801	344002118074701	1
344125118075801	344218118083301	1
344125118075801	11103010	1
343848118083801	344109118092401	1
343848118083801	344221118083401	1
343848118083801	343851118083801	1
343848118083801	344404117550001	1
343848118083801	344241118094001	1
343848118083801	344240118074301	1
343848118083801	344002118074701	1
343848118083801	344218118083301	1
343848118083801	11103010	1
344241118094001	344109118092401	1
344241118094001	344221118083401	1
344241118094001	343851118083801	1
344241118094001	344404117550001	1
344241118094001	344240118074301	1
344241118094001	344002118074701	1
344241118094001	344218118083301	1
344241118094001	11103010	1
344221118083401	344109118092401	1
344221118083401	344240118074301	1
344221118083401	343851118083801	1
344221118083401	344404117550001	1
344221118083401	344002118074701	1
344221118083401	344218118083301	1
344221118083401	11103010	1
344240118074301	344109118092401	1
344240118074301	343851118083801	1
344240118074301	344404117550001	1
344240118074301	344002118074701	1
344240118074301	344218118083301	1
344240118074301	11103010	1
343851118083801	344109118092401	1
343851118083801	344404117550001	1
343851118083801	344002118074701	1
343851118083801	344218118083301	1
343851118083801	11103010	1
344404117550001	344109118092401	1
344404117550001	344002118074701	1
344404117550001	344218118083301	1
344404117550001	11103010	1
344002118074701	344109118092401	1
344002118074701	344218118083301	1
344002118074701	11103010	1
344109118092401	344218118083301	1
344109118092401	11103010	1
344218118083301	11103010	1
11103010	11109550	1
11103010	11082800	2
11103010	11107745	3
11103010	11095500	1
11103010	342526118322101	3
11103010	11097490	1
11103010	10278300	4
11103010	343609118063801	1
11103010	343040118363801	3
11109550	11095500	1
11082800	10278300	2
11082800	343040118363801	2
11082800	342526118322101	2
11082800	11107745	2
11082800	11097490	1
10278300	11107745	3
10278300	342526118322101	3
10278300	11097490	1
10278300	343040118363801	3
343040118363801	11107745	3
343040118363801	342526118322101	3
343040118363801	11097490	1
342526118322101	11107745	3
342526118322101	11108000	1
342526118322101	11097490	1
11107745	11097490	1
