Pollutant	Color
2-methylnaphthalene	#002603
isophorone	#0066a1
carbazole	#005042
1,4-dichlorobenzene	#00a724
atrazine	#00b466
phenol	#00e0a7
fluoranthene	#006228
pyrene	#00bc4c
chlorpyrifos	#00d031
bisphenol a	#00c291
metolachlor	#003e1a
naphthalene	#00d497
prometon	#0072b9
bromacil	#00869a
diazinon	#00359d
perchlorate	#008705
mercury	#008540
arsenic	#00cf29
cadmium	#00a66a
vanadium	#00e029
lead	#00b8cf
dieldrin	#0076d1
chromium	#0075b5
radium-228	#0071d6
radium-226	#008cbd
p,p'-dde	#00fa8e
thallium	#00b64a
aldicarb	#0069f3
alpha-hch	#000c36
manganese	#00cfb8
aluminum	#000390
phosphorus	#00e520
antimony	#00ab41
boron	#005718
strontium	#001915
iron	#0039e
molybdenum	#0032dd
nickel	#0001bc
