Pollutant	Color
2-methylnaphthalene	#ff00ff
isophorone	#ff3cb4
carbazole	#ff8c50
1,4-dichlorobenzene	#ff40af
atrazine	#ffac28
phenol	#ff48a5
fluoranthene	#ff4ca0
pyrene	#ff9446
chlorpyrifos	#ff6087
bisphenol a	#ff14e6
metolachlor	#ff28cd
naphthalene	#ff1cdc
prometon	#ff7869
bromacil	#ff24d2
diazinon	#ff2cc8
perchlorate	#ff04fa
mercury	#ff845a
molybdenum	#ffa82d
arsenic	#ff509b
cadmium	#ffb023
thallium	#ff904b
vanadium	#ff5496
p,p'-dde	#ff08f5
lead	#ff9c3c
dieldrin	#ffa037
chromium	#ff687d
radium-228	#ffa432
boron	#ff20d7
radium-226	#ff805f
beryllium	#ff0cf0
iron	#ff30c3
phosphorus	#ff38b9
chlorothalonil	#ff44aa
p,p'-ddd	#ff5891
endrin	#ff5c8c
p,p'-ddt	#ff6482
alpha-hch	#ff6c78
manganese	#ff746e
heptachlor	#ff7073
nickel	#ff7c64
heptachlor epoxide	#ff9841
lindane	#ffb41e
toxaphene	#ffb819
pcbs	#ffbc14
aldrin	#ffc00f
aldicarb	#ffc40a
aluminum	#ff10eb
antimony	#ff8855
strontium	#ff18e1
selenium	#ff34be
barium	#ffc805
