node	partition
antimony	0
chlorpyrifos	0
"p,p'-ddt"	0
chlorothalonil	0
molybdenum	0
strontium	0
metolachlor	0
dieldrin	0
selenium	0
"p,p'-ddd"	0
beryllium	0
nickel	0
radium-226	0
phosphorus	0
lindane	0
mercury	0
iron	0
manganese	0
pcbs	0
aldicarb	0
bromacil	0
toxaphene	0
thallium	0
heptachlor	1
naphthalene	1
aldrin	1
radium-228	1
carbazole	1
diazinon	1
heptachlor epoxide	1
chromium	1
barium	1
vanadium	1
endrin	1
atrazine	1
"p,p'-dde"	1
aluminum	1
2-methylnaphthalene	1
pyrene	2
prometon	2
lead	2
fluoranthene	2
isophorone	2
cadmium	2
bisphenol a	2
arsenic	2
boron	2
"1,4-dichlorobenzene"	2
phenol	2
perchlorate	2
alpha-hch	2
