turbidity	p00070	p00075	p00076	p61028	p63675	p63676	p63680
specific conductance	p00095	p90095
hydrogen ion	p00191
dissolved oxygen	p00300	p00301
biochemical oxygen demand	p00310
ph	p00400	p00403
carbon dioxide	p00405
acid neutralizing capacity	p00410	p00419	p90410
bicarbonate	p00440	p00450	p99440
carbonate	p00445	p00447	p99430	p99445
total solids remaining after ignition	p00510
suspended solids	p00530
loss on ignition of suspended solids	p00535
suspended solids remaining after ignition	p00540
oil and grease	p00550	p00556
total nitrogen [nitrate + nitrite + ammonia + organic-n]	p00600	p62855	p71887
organic nitrogen	p00605
ammonia (nh3 + nh4+)	p00610	p71845
nitrite	p00615
nitrate	p00620	p71850
ammonia plus organic nitrogen	p00625
nitrate plus nitrite	p00630
phosphate	p00650
phosphorus	p00665	p71886
organic carbon	p00680
cyanide	p00720
sulfide	p00745	p99119
noncarbonate hardness	p00902
arsenic	p01002
barium	p01007
cadmium	p01027
chromium	p01034
cobalt	p01037
copper	p01042
iron	p01045
lead	p01051
manganese	p01055
nickel	p01067
silver	p01077
zinc	p01092
aluminum	p01105
selenium	p01147
metalaxyl	p04254
tritium	p07000
2-methylnaphthalene	p30194
2-nitroaniline	p30195
4-nitroaniline	p30196
2-methyl-4,6-dinitrophenol	p30204	p34657
dibromomethane	p30217
dichlorvos	p30218
bromacil	p30234
4-chloroaniline	p30343
bromodichloromethane	p32101
tetrachloromethane	p32102
1,2-dichloroethane	p32103
tribromomethane	p32104
dibromochloromethane	p32105
trichloromethane	p32106
phenolic compounds	p32730
toluene	p34010
benzene	p34030
acenaphthylene	p34200
acenaphthene	p34205
acrylonitrile	p34215
anthracene	p34220
benzo[b]fluoranthene	p34230
benzo[k]fluoranthene	p34242
benzo[a]pyrene	p34247
bis(2-chloroethyl) ether	p34273
bis(2-chloroethoxy)methane	p34278
bis(2-chloroisopropyl) ether	p34283
benzyl n-butyl phthalate	p34292
chlorobenzene	p34301
chloroethane	p34311
chrysene	p34320
diethyl phthalate	p34336
dimethyl phthalate	p34341
ethylbenzene	p34371
fluoranthene	p34376
9h-fluorene	p34381
hexachlorocyclopentadiene	p34386
hexachlorobutadiene	p34391	p39702
hexachloroethane	p34396
indeno[1,2,3-cd]pyrene	p34403
isophorone	p34408
bromomethane	p34413
chloromethane	p34418
dichloromethane	p34423
n-nitrosodi-n-propylamine	p34428
n-nitrosodiphenylamine	p34433
n-nitrosodimethylamine (ndma)	p34438	p64176
nitrobenzene	p34447
4-chloro-3-methylphenol	p34452
phenanthrene	p34461
pyrene	p34469
tetrachloroethene	p34475
trichlorofluoromethane	p34488
1,1-dichloroethane	p34496
1,1-dichloroethene	p34501
1,1,1-trichloroethane	p34506
1,1,2-trichloroethane	p34511
1,1,2,2-tetrachloroethane	p34516
benzo[ghi]perylene	p34521
